,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
300,"GOLDBERG, KAREN",NA,NA,NA,NA,NA
301,"THOMPSON, ELIZABETH",340,7,5,6,5
302,"STEINER, ROBERT",22024,73,40,172,80
303,"WAKEFIELD, JONATHAN",9468,53,30,122,83
304,"GARDINER, STEPHEN",NA,NA,NA,NA,NA
305,"DROBNY, GARY",NA,NA,NA,NA,NA
306,"BENNETT, WALTER",NA,NA,NA,NA,NA
307,"PATRICK, DONALD",59495,120,66,375,261
308,"HOOYMAN, NANCY",NA,NA,NA,NA,NA
309,"TRUELOVE, EDMOND",NA,NA,NA,NA,NA
310,"DERMISI, SOFIA",NA,NA,NA,NA,NA
311,"MAMISHEV, ALEXANDER",NA,NA,NA,NA,NA
312,"HOUZE, ROBERT",25533,84,46,189,150
313,"ALLARD, SCOTT",NA,NA,NA,NA,NA
314,"ROBERTSON, R",87,4,4,2,2
315,"HOPKINS, PAUL",NA,NA,NA,NA,NA
316,"ANDERSON, RICHARD",8140,47,20,143,60
317,"PROMISLOW, DANIEL",NA,NA,NA,NA,NA
318,"KATTI, RAJENDRA",NA,NA,NA,NA,NA
319,"GLEASON, CHRISTINE",NA,NA,NA,NA,NA
320,"DAVIS, CAROL",NA,NA,NA,NA,NA
321,"KIM, CHANG",8380,28,20,39,35
322,"DACEY, DENNIS",8149,45,26,65,43
323,"RAO, RAJESH",13313,54,37,125,90
324,"CONRAD, ERNEST",NA,NA,NA,NA,NA
325,"FENSKE, RICHARD",NA,NA,NA,NA,NA
326,"MORROW, JAMES",NA,NA,NA,NA,NA
327,"RHINES, PETER",NA,NA,NA,NA,NA
328,"FABIEN, BRIAN",NA,NA,NA,NA,NA
329,"PRAKASH, ASEEM",NA,NA,NA,NA,NA
330,"BLAKE, MICHAEL",1233,16,12,21,14
331,"WOODS, NANCY",NA,NA,NA,NA,NA
332,"BRUCE, JAMES",NA,NA,NA,NA,NA
333,"HERTZOG, DAVID",7713,35,18,61,24
334,"ANANTRAM, MANJERI",NA,NA,NA,NA,NA
335,"KELLY, LISA",NA,NA,NA,NA,NA
336,"FRIEDMAN, BATYA",7681,43,32,72,54
337,"RIES, RICHARD",NA,NA,NA,NA,NA
338,"BELLAMY, GEORGE",NA,NA,NA,NA,NA
339,"RILEY, JAMES",9349,42,21,85,41
340,"DRANGSHOLT, MARK",NA,NA,NA,NA,NA
341,"MITCHELL, KATHARYNE",NA,NA,NA,NA,NA
342,"WHITE, HAROLD",NA,NA,NA,NA,NA
343,"AGOL, ERIC",13717,60,47,137,114
344,"STELLA, NEPHI",NA,NA,NA,NA,NA
345,"MASS, CLIFFORD",7272,49,25,97,61
346,"HICKS, GREGORY",NA,NA,NA,NA,NA
347,"SIMONI, JANE",12077,62,44,146,126
348,"SOKOURENKO, EVGUENI",NA,NA,NA,NA,NA
349,"HOLLAND, ALAN",NA,NA,NA,NA,NA
350,"ODEGARD, PEGGY",NA,NA,NA,NA,NA
351,"PECK, CHARLES",NA,NA,NA,NA,NA
352,"DRTON, MATHIAS",3198,25,20,43,30
353,"LIN, KUEN-YUAN",NA,NA,NA,NA,NA
354,"CAO, GUOZHONG",28466,82,68,332,305
355,"PERKEL, DAVID",8697,41,26,68,59
356,"LIVNE, ELI",NA,NA,NA,NA,NA
357,"ALLEN, DAVID",NA,NA,NA,NA,NA
358,"MAMIDALA, RAMULU",6395,44,30,129,80
359,"REDDY, SANJAY",9572,41,29,66,51
360,"BALDWIN, LAURA",NA,NA,NA,NA,NA
361,"ATMAN, CYNTHIA",NA,NA,NA,NA,NA
362,"BAKER, JOEL",NA,NA,NA,NA,NA
363,"BEAME, PAUL",5618,39,22,87,45
364,"COSTA, LUCIO",NA,NA,NA,NA,NA
