Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
"MURRAY, CHRISTOPHER",172471,153,118,492,392
"DODSON, THOMAS",14551,54,35,149,107
"PELLEGRINI, CARLOS",NA,NA,NA,NA,NA
"HARFORD, JARRAD",10101,30,28,48,40
"MAIER, RONALD",NA,NA,NA,NA,NA
"ELLENBOGEN, RICHARD",18433,59,45,154,124
"KUHL, PATRICIA",32058,79,52,176,118
"HOLMES, KING",NA,NA,NA,NA,NA
"MACLELLAN, W",NA,NA,NA,NA,NA
"VAN GELDER, RUSSELL",NA,NA,NA,NA,NA
"PALMATIER, ROBERT",8246,30,29,42,41
"FUTRAN, NEAL",NA,NA,NA,NA,NA
"MELTZOFF, ANDREW",48185,101,67,226,190
"BURGSTAHLER, DAVID",NA,NA,NA,NA,NA
"KARPOFF, JONATHAN",12838,34,27,46,39
"BERG, JOEL",NA,NA,NA,NA,NA
"CHEN, XIAO-PING",NA,NA,NA,NA,NA
"ODA, DOLPHINE",2170,27,11,44,12
"GLENNY, ROBB",7537,48,23,123,57
"SHANKLAND, STUART",NA,NA,NA,NA,NA
"KOTHA, SURESH",9660,33,24,37,32
"STEENSMA, HARVEY",NA,NA,NA,NA,NA
"WESSELLS, HUNTER",7357,51,32,99,85
"LEE, THOMAS",16404,44,35,63,50
"BOND, ALAN",NA,NA,NA,NA,NA
"AVOLIO, BRUCE",101059,116,96,191,174
"HODGE, FRANK",NA,NA,NA,NA,NA
"CROWDER, CHARLES",NA,NA,NA,NA,NA
"CATTERALL, WILLIAM",NA,NA,NA,NA,NA
"O'DONNELL, MATTHEW",19211,72,36,298,153
"THOMPSON, MATTHEW",NA,NA,NA,NA,NA
"HIMMELFARB, JONATHAN",NA,NA,NA,NA,NA
"SORENSEN, JOHN",NA,NA,NA,NA,NA
"WATERSTON, ROBERT",NA,NA,NA,NA,NA
"BEIRNE, OWEN",NA,NA,NA,NA,NA
"INADOMI, JOHN",12131,53,41,112,88
"FROEHNER, STANLEY",NA,NA,NA,NA,NA
"STERN, SUSAN",NA,NA,NA,NA,NA
"CATALANO, RICHARD",NA,NA,NA,NA,NA
"BYERS, PETER",NA,NA,NA,NA,NA
"TARCZY-HORNOCH, PETER",3254,36,20,67,34
"UNUTZER, JURGEN",NA,NA,NA,NA,NA
"ALPERS, CHARLES",NA,NA,NA,NA,NA
"MOINZADEH, KAMRAN",2792,22,14,31,20
"MCVAY, SARAH",5677,19,16,26,23
"FAN, YANQIN",4083,29,21,49,36
"MOKDAD, ALI",74681,113,80,338,262
"JEN, ALEX",NA,NA,NA,NA,NA
"GIACHELLI, CECILIA",25852,82,55,164,128
"RUBEL, EDWIN",NA,NA,NA,NA,NA
"TURNOVSKY, STEPHEN",17031,70,29,226,85
"WASSERHEIT, JUDITH",NA,NA,NA,NA,NA
"CELUM, CONNIE",NA,NA,NA,NA,NA
"DEY, DEBABRATA",1474,20,15,33,20
"MAYR, NINA",NA,NA,NA,NA,NA
"CHAIT, ALAN",NA,NA,NA,NA,NA
"CHAMPOUX, JAMES",NA,NA,NA,NA,NA
"VAN VOORHIS, WESLEY",NA,NA,NA,NA,NA
"CURTIS, JARED",NA,NA,NA,NA,NA
"LAZOWSKA, EDWARD",NA,NA,NA,NA,NA
"ABKOWITZ, JANIS",NA,NA,NA,NA,NA
"MALATESTA, PAUL",7035,20,18,23,18
"MIZIK, NATALIE",2404,21,15,24,20
"LAWARREE, JACQUES",2889,18,14,25,15
"BOHRINGER, KARL",5905,43,20,88,45
"GALE, MICHAEL",NA,NA,NA,NA,NA
"WAAS, MODERAGE",NA,NA,NA,NA,NA
"MILLER, SAMUEL",NA,NA,NA,NA,NA
"MURRY, CHARLES",40778,76,54,174,138
"WATAHA, JOHN",NA,NA,NA,NA,NA
"DAVIS, TRISHA",NA,NA,NA,NA,NA
"BURKE, WYLIE",NA,NA,NA,NA,NA
"SCHWARTZ, DANIEL",4415,32,20,74,36
"BREMNER, WILLIAM",NA,NA,NA,NA,NA
"TIAN, RONG",NA,NA,NA,NA,NA
"CHIU, DANIEL",NA,NA,NA,NA,NA
"STAMATOYANNOPOULOS, G",NA,NA,NA,NA,NA
"CLARK, JOHN",5807,38,15,124,30
"WEIR, BRUCE",NA,NA,NA,NA,NA
"GREENBERG, E",NA,NA,NA,NA,NA
"HEINECKE, JAY",NA,NA,NA,NA,NA
"JARVIK, GAIL",NA,NA,NA,NA,NA
"AGRAWAL, NIDHI",NA,NA,NA,NA,NA
"ELKON, KEITH",NA,NA,NA,NA,NA
"HEITKEMPER, MARGARET",NA,NA,NA,NA,NA
"SLATTERY, JOHN",NA,NA,NA,NA,NA
"ESSELMAN, PETER",NA,NA,NA,NA,NA
"BOEKER, WARREN",8332,24,20,31,27
"MULLINS, JAMES",NA,NA,NA,NA,NA
"POOVENDRAN, RAADHAKRISHNAN",NA,NA,NA,NA,NA
"LEVY, HENRY",24389,71,36,137,72
"MARSHALL, JULIAN",NA,NA,NA,NA,NA
"SEFCIK, STEPHAN",NA,NA,NA,NA,NA
"GOVERMAN, JOAN",NA,NA,NA,NA,NA
"YAGER, PAUL",18228,66,42,191,112
"KUSZLER, PATRICIA",NA,NA,NA,NA,NA
"MATSUMOTO, DAWN",NA,NA,NA,NA,NA
"STAPLETON, F",NA,NA,NA,NA,NA
"SCHWARTZ, MICHAEL",NA,NA,NA,NA,NA
"CHAN, DANIEL",NA,NA,NA,NA,NA
"VIGDOR, JACOB",9543,40,33,69,58
"KHALIL, FAHAD",1495,14,11,15,12
"GRABOWSKI, THOMAS",NA,NA,NA,NA,NA
"FOREHAND, MARK",1677,17,16,23,20
"HEAGERTY, PATRICK",71459,66,48,171,143
"HORWITZ, MARSHALL",NA,NA,NA,NA,NA
"KAMARA, AVRAHAM",NA,NA,NA,NA,NA
"LIGGITT, H",NA,NA,NA,NA,NA
"MCCUTCHEN, DEBORAH",NA,NA,NA,NA,NA
"BEAUCHAMP, NORMAN",NA,NA,NA,NA,NA
"RATNER, BUDDY",NA,NA,NA,NA,NA
"NICKERSON, DEBORAH",49525,97,72,254,208
"RUBINSTEIN, JAY",NA,NA,NA,NA,NA
"ANDERSON, C",3856,30,19,63,35
"FREDRIKSEN GOLDSEN, KAREN",3061,27,23,50,44
"NOWELL, ARTHUR",NA,NA,NA,NA,NA
"SAUDAGARAN, SHAHROKH",2826,21,16,34,20
"STAHL, DAVID",56371,96,52,231,161
"ANDERSON, THOMAS",44865,90,51,164,121
"WALTERS, KARINA",3222,31,22,41,35
"VEITH, RICHARD",NA,NA,NA,NA,NA
"JENEKHE, SAMSON",31878,99,60,285,197
"OPP, MARK",NA,NA,NA,NA,NA
"ACKERMAN, THOMAS",NA,NA,NA,NA,NA
"LEVY, RONA",NA,NA,NA,NA,NA
"JIANG, SHAOYI",21367,79,59,240,198
"JAIN, SHAILENDRA",NA,NA,NA,NA,NA
"TAYA, MINORU",NA,NA,NA,NA,NA
"BAETEN, JARED",15432,61,51,180,166
"KING, MARY-CLAIRE",42005,91,55,215,130
"GORDON, SARA",NA,NA,NA,NA,NA
"CHAVKIN, CHARLES",16590,70,37,169,99
"ABBOTT, ROBERT",NA,NA,NA,NA,NA
"TERI, LINDA",NA,NA,NA,NA,NA
"ESCHENBACH, DAVID",NA,NA,NA,NA,NA
"GINGER, DAVID",14093,57,47,128,108
"AMORY, JOHN",NA,NA,NA,NA,NA
"GELB, MICHAEL",NA,NA,NA,NA,NA
"HARRIS, JEFFREY",6935,38,22,83,47
"KUTZ, JOSE",NA,NA,NA,NA,NA
"LONG, MARK",1801,19,17,23,21
"BANEYX, FRANCOIS",8938,38,23,72,48
"WONG, RACHEL",NA,NA,NA,NA,NA
"BELL, PHILIP",7667,30,24,54,42
"TAN, YONG",NA,NA,NA,NA,NA
"STEIN, JULIE",NA,NA,NA,NA,NA
"RAMSAY, DOUGLAS",2313,28,16,55,26
"MESBAHI, MEHRAN",6006,30,24,73,52
"LILES, W",NA,NA,NA,NA,NA
"RUSSELL, DAVID",NA,NA,NA,NA,NA
"LOEB, LAWRENCE",41338,99,42,374,148
"HILLHOUSE, HUGH",7431,37,29,66,51
"HILLE, BERTIL",48784,96,40,202,122
"SEN, PRADYOT",1479,13,9,15,9
"ALLEN, CRAIG",NA,NA,NA,NA,NA
"TUNG, KA",NA,NA,NA,NA,NA
"PSATY, BRUCE",NA,NA,NA,NA,NA
"GHIRONI, FABIO",3247,24,16,34,19
"O'CONNOR, SEAN",NA,NA,NA,NA,NA
"HOWARD, JUDITH",NA,NA,NA,NA,NA
"REINHALL, PER",3119,29,19,68,38
"WEN, QUAN",842,13,9,20,9
"FOX, DIETER",52157,97,67,195,162
"KRONSTROM, MATS",NA,NA,NA,NA,NA
"SOMA, MANI",NA,NA,NA,NA,NA
"RAFAEL, VICENTE",NA,NA,NA,NA,NA
"RAMASASTRY, ANITA",NA,NA,NA,NA,NA
"REA, THOMAS",NA,NA,NA,NA,NA
"BODIK, RASTISLAV",9663,39,29,63,53
"KING, BRYAN",NA,NA,NA,NA,NA
"SALMON, MARLA",NA,NA,NA,NA,NA
"HIRSCHMAN, CHARLES",7312,42,22,97,44
"GREEN, PHILIP",NA,NA,NA,NA,NA
"KIRSCHEN, DANIEL",14837,51,43,110,98
"BRADFORD, WILLIAM",NA,NA,NA,NA,NA
"DEVASIA, SANTOSH",7480,37,25,71,47
"JARBOE, THOMAS",NA,NA,NA,NA,NA
"LAVITT, MELISSA",NA,NA,NA,NA,NA
"KRISHNAMURTHY, SANDEEP",3742,26,22,44,31
"OSTENDORF, MARI",14921,57,27,196,81
"PLOTNICK, ROBERT",5136,33,14,65,21
"BENNETT, IAN",NA,NA,NA,NA,NA
"RUBENSTEIN, JEFFREY",NA,NA,NA,NA,NA
"ERNST, MICHAEL",14635,56,43,125,98
"WELD, DANIEL",28422,84,46,180,118
"MARAVILLA, KENNETH",NA,NA,NA,NA,NA
"CHIZECK, HOWARD",7172,41,21,87,47
"STERGACHIS, ANDREAS",NA,NA,NA,NA,NA
"KAPLAN, DAVID",20116,60,37,90,69
"YANG, XIAOMING",NA,NA,NA,NA,NA
"RICHARDSON, THOMAS",3810,32,22,65,38
"DREWNOWSKI, ADAM",35802,99,63,278,213
"TURK, DENNIS",62281,123,66,365,255
"WEINER, ALAN",NA,NA,NA,NA,NA
"STONE, WENDY",16613,59,45,120,97
"PALMER, CAROLE",2674,26,20,51,35
"HARWOOD, CAROLINE",NA,NA,NA,NA,NA
"VARANI, GABRIELE",NA,NA,NA,NA,NA
"HILL, CHARLES",NA,NA,NA,NA,NA
"SHI, CHUAN",280,8,8,7,6
"TEUTON, CHRISTOPHER",NA,NA,NA,NA,NA
"MARLOWE, JUSTIN",NA,NA,NA,NA,NA
"DARVEAU, RICHARD",NA,NA,NA,NA,NA
"MAJESKI, STEPHEN",NA,NA,NA,NA,NA
"YOST, MICHAEL",4792,38,22,91,48
"HUANG, GREG",NA,NA,NA,NA,NA
"KALMAN, DAVID",NA,NA,NA,NA,NA
"BASU, ANIRBAN",6167,37,26,62,52
"GAO, DAYONG",5002,38,20,106,67
"ZHANG, MIQIN",21959,66,57,146,138
"KASABA, RESAT",NA,NA,NA,NA,NA
"SPARKE, MATTHEW",NA,NA,NA,NA,NA
"KLASTORIN, THEODORE",NA,NA,NA,NA,NA
"SCHWARTZ, ILENE",5319,38,23,72,38
"GARBINI, JOSEPH",NA,NA,NA,NA,NA
"YUAN, CHUN",NA,NA,NA,NA,NA
"CONNOLLY, ANDREW",NA,NA,NA,NA,NA
"TREMBLAY, KELLY",4368,35,28,49,45
"DUDZINSKI, DENISE",475,13,9,15,9
"HEINEKEY, DENNIS",NA,NA,NA,NA,NA
"RETTIE, ALLAN",18145,64,34,156,101
"SIEGEL, ANDREW",NA,NA,NA,NA,NA
"RAFTERY, ADRIAN",64543,88,62,236,175
"WOODWARD, KATHLEEN",NA,NA,NA,NA,NA
"UNADKAT, JASHVANT",NA,NA,NA,NA,NA
"ROY, SUMIT",NA,NA,NA,NA,NA
"THUMMEL, KENNETH",NA,NA,NA,NA,NA
"KOVACS, SANDOR",1454,23,16,34,20
"GAMELIN, DANIEL",16576,64,50,140,126
"MATSEN, FREDERICK",NA,NA,NA,NA,NA
"BILMES, JEFFREY",13949,57,38,173,99
"WANG, RUIKANG",13857,58,46,290,225
"SANDERS, JOAN",NA,NA,NA,NA,NA
"STAYTON, PATRICK",20708,81,46,219,168
"RAFTERY, MICHAEL",NA,NA,NA,NA,NA
"YANG, ANAND",NA,NA,NA,NA,NA
"DANIEL, THOMAS",NA,NA,NA,NA,NA
"DOMINGOS, PEDRO",36599,81,54,142,113
"CASTNER, DAVID",NA,NA,NA,NA,NA
"NICOLAS, PETER",NA,NA,NA,NA,NA
"WANG, YINHAI",NA,NA,NA,NA,NA
"ZATZICK, DOUGLAS",NA,NA,NA,NA,NA
"CAMPBELL, CHARLES",27208,83,48,261,161
